1 | plan | evidence=0
2 | generate | evidence=0
3 | retrieve | evidence=0
4 | retrieve | evidence=12
5 | retrieve | evidence=12
6 | retrieve | evidence=12
7 | retrieve | evidence=12
1 | plan | evidence=0
2 | retrieve | evidence=0
3 | generate | evidence=12
4 | verify | evidence=12
5 | verify | evidence=12
6 | finish | evidence=12
1 | plan | evidence=0
2 | retrieve | evidence=0
3 | generate | evidence=12
4 | verify | evidence=12
5 | verify | evidence=12
6 | finish | evidence=12
1 | plan | evidence=0
2 | generate | evidence=0
3 | retrieve | evidence=0
4 | reflect | evidence=12
5 | retrieve | evidence=12
6 | retrieve | evidence=12
7 | retrieve | evidence=12
1 | plan | evidence=0
2 | generate | evidence=0
3 | retrieve | evidence=0
4 | retrieve | evidence=12
5 | finish | evidence=12
1 | plan | evidence=0
2 | retrieve | evidence=0
3 | generate | evidence=12
4 | finish | evidence=12
1 | plan | evidence=0
2 | generate | evidence=0
3 | reflect | evidence=0
4 | reflect | evidence=12
5 | reflect | evidence=12
6 | generate | evidence=12
7 | retrieve | evidence=12
1 | plan | evidence=0
2 | generate | evidence=0
3 | retrieve | evidence=0
4 | reflect | evidence=12
5 | finish | evidence=12
1 | plan | evidence=0
2 | generate | evidence=0
3 | reflect | evidence=0
4 | retrieve | evidence=12
5 | retrieve | evidence=12
6 | retrieve | evidence=12
7 | reflect | evidence=12
1 | plan | evidence=0
2 | retrieve | evidence=0
3 | retrieve | evidence=12
4 | retrieve | evidence=12
5 | retrieve | evidence=12
6 | retrieve | evidence=12
7 | retrieve | evidence=12
1 | plan | evidence=0
2 | generate | evidence=0
3 | retrieve | evidence=0
4 | reflect | evidence=12
5 | retrieve | evidence=12
6 | reflect | evidence=12
7 | finish | evidence=12
1 | plan | evidence=0
2 | generate | evidence=0
3 | retrieve | evidence=0
4 | retrieve | evidence=12
5 | retrieve | evidence=12
6 | retrieve | evidence=12
7 | retrieve | evidence=12
1 | plan | evidence=0
2 | retrieve | evidence=0
3 | generate | evidence=12
4 | finish | evidence=12
1 | plan | evidence=0
2 | retrieve | evidence=0
3 | generate | evidence=12
4 | reflect | evidence=12
5 | reflect | evidence=12
1 | plan | evidence=0
2 | generate | evidence=0
3 | generate | evidence=0
4 | retrieve | evidence=0
5 | reflect | evidence=12
6 | retrieve | evidence=12
7 | reflect | evidence=12
